Symbol,Company Name,Sector,Industry,Country,Region,Zip Code
RDUS,"Radius Recycling, Inc.",Basic Materials,Steel,United States,OR,97201
RDZN,"Roadzen, Inc.",Technology,Softwareâ€”Application,United States,CA,94010
REAX,The Real Brokerage Inc.,Real Estate,Real Estate Services,United States,FL,33131
REFI,"Chicago Atlantic Real Estate Finance, Inc.",Real Estate,REITâ€”Mortgage,United States,IL,60611
REBN,"Reborn Coffee, Inc.",Consumer Cyclical,Restaurants,United States,CA,92821
RDZNW,"Roadzen, Inc.",Technology,Softwareâ€”Application,United States,CA,94010
REGCO,Regency Centers Corporation,Real Estate,REITâ€”Retail,United States,FL,32202-5019
REAL,"The RealReal, Inc.",Consumer Cyclical,Luxury Goods,United States,CA,94133
REFR,Research Frontiers Incorporated,Technology,Electronic Components,United States,NY,11797-2033
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology,United States,NY,10591-6707
REKR,"Rekor Systems, Inc.",Technology,Softwareâ€”Infrastructure,United States,MD,21046
RELI,"Reliance Global Group, Inc.",Financial Services,Insurance Brokers,United States,NJ,8701
REGCP,Regency Centers Corporation,Real Estate,REITâ€”Retail,United States,FL,32202-5019
RELL,"Richardson Electronics, Ltd.",Technology,Electronic Components,United States,IL,60147-0393
RELIW,"Reliance Global Group, Inc.",Financial Services,Insurance Brokers,United States,NJ,8701
RELY,"Remitly Global, Inc.",Technology,Softwareâ€”Infrastructure,United States,WA,98101
REG,Regency Centers Corporation,Real Estate,REITâ€”Retail,United States,FL,32202-5019
RENB,Renovaro Inc.,Healthcare,Biotechnology,United States,CA,90067
REPL,"Replimune Group, Inc.",Healthcare,Biotechnology,United States,MA,1801
RENEW,Cartesian Growth Corporation II,Financial Services,Shell Companies,United States,NY,10017
RENE,Cartesian Growth Corporation II,Financial Services,Shell Companies,United States,NY,10017
RENEU,Cartesian Growth Corporation II,Financial Services,Shell Companies,United States,NY,10017
RENT,"Rent the Runway, Inc.",Consumer Cyclical,Apparel Retail,United States,NY,11201
REVB,"Revelation Biosciences, Inc.",Healthcare,Biotechnology,United States,CA,92122
REVBW,"Revelation Biosciences, Inc.",Healthcare,Biotechnology,United States,CA,92122
REYN,Reynolds Consumer Products Inc.,Consumer Cyclical,Packaging & Containers,United States,IL,60045
RFIL,"RF Industries, Ltd.",Industrials,Electrical Equipment & Parts,United States,CA,92127
RGCO,"RGC Resources, Inc.",Utilities,Utilitiesâ€”Regulated Gas,United States,VA,24016
RGEN,Repligen Corporation,Healthcare,Medical Instruments & Supplies,United States,MA,2453
RGNX,REGENXBIO Inc.,Healthcare,Biotechnology,United States,MD,20850
RGF,"The Real Good Food Company, Inc.",Consumer Defensive,Packaged Foods,United States,NJ,8002
RGTI,"Rigetti Computing, Inc.",Technology,Computer Hardware,United States,CA,94710
RGS,Regis Corporation,Consumer Cyclical,Personal Services,United States,MN,55416
RICK,"RCI Hospitality Holdings, Inc.",Consumer Cyclical,Restaurants,United States,TX,77066
RGTIW,"Rigetti Computing, Inc.",Technology,Computer Hardware,United States,CA,94710
RGP,"Resources Connection, Inc.",Industrials,Consulting Services,United States,CA,92614
